,0
350,"['alex', 'aiono', 'trinidad', 'cardona', 'feel', 'like', 'falling', 'audio']"
351,"['r', 'hurts', 'good', 'audio']"
352,"['year', 'vlogging', 'logan', 'paul', 'changed', 'youtube', 'forever']"
353,"['dl', 'hughley', 'espn', 'jemele', 'hill', 'controversy']"
354,"['hudson', 'moore', 'wanna', 'love', 'official', 'music', 'video']"
355,"['iphone', 'x', 'parody']"
356,"['bell', 'theorem', 'quantum', 'venn', 'diagram', 'paradox']"
357,['response']
358,"['opposition', 'w', 'jordan', 'klepper', 'opposing', 'resistance', 'phoenix']"
359,"['need', 'talk']"
360,"['dentist', 'creates', 'new', 'type', 'veneers']"
361,"['nick', 'jonas', 'find', 'live', 'peppermint', 'club']"
362,"['kelly', 'clarkson', 'talks', 'american', 'idol', 'dr', 'luke', 'interview']"
363,"['jacob', 'banks', 'unknown', 'audio']"
364,"['darci', 'lynne', 'kid', 'ventriloquist', 'sings', 'little', 'help', 'friends', 'america', 'got', 'talent']"
365,"['jimmy', 'kimmel', 'bill', 'cassidy', 'health', 'care', 'bill']"
366,"['best', 'friends', 'challenge', 'demi', 'lovato']"
367,"['either', 'cat', 'goes', 'hot', 'date']"
368,"['nick', 'peta', 'cha', 'cha', 'dancing', 'stars']"
369,"['gaga', 'five', 'foot', 'two', 'official', 'trailer', 'hd', 'netflix']"
370,"['five', 'senses']"
371,"['james', 'kiss', 'tell', 'time']"
372,"['donald', 'glover', 'wins', 'emmy', 'award', 'lead', 'actor']"
373,"['björk', 'gate']"
374,"['georgia', 'state', 'vs', 'penn', 'state', 'football']"
375,"['canelo', 'alvarez', 'vs', 'gennady', 'golovkin', 'fight', 'ruled', 'draw', 'sportscenter', 'espn']"
376,"['emmys', 'red', 'carpet', 'live', 'people', 'entertainment', 'weekly', 'peopletv', 'time']"
377,"['guy', 'disability', 'sees', 'antiques', 'roadshow', 'highest', 'appraisal', 'episode', 'realizes', 'item']"
378,"['nerf', 'war', 'worlds', 'largest', 'blanket', 'fort', 'feet']"
379,"['sperm', 'donor', 'meets', 'children', 'together']"
380,"['wendy', 'williams', 'responds', 'instagram', 'rant', 'dishes', 'scandalous', 'bikini', 'pics', 'peopletv']"
381,"['lowe', 'giving', 'workers', 'iron', 'man', 'suits', 'carry', 'lumber']"
382,"['live', 'stream', 'canelo', 'vs', 'golovkin', 'official', 'weigh', 'friday', 'sept', 'pm', 'et', 'pm', 'pt']"
383,"['reasons', 'buy', 'iphone', 'x']"
384,"['jennifer', 'lawrence', 'got', 'bar', 'fight', 'budapest']"
385,"['apple', 'watch', 'series', 'apple', 'music', 'roll', 'apple']"
386,"['miley', 'cyrus', 'see', 'live', 'lounge']"
387,"['words', 'chile', 'joanna', 'rants']"
388,"['vampy', 'fall', 'look', 'new', 'makeup', 'nicole', 'guerriero']"
389,"['nf', 'let', 'audio']"
390,"['tv', 'doctors', 'america', 'even', 'drama']"
391,"['butt', 'complaints', 'australia']"
392,"['mother', 'movie', 'review']"
